TELA,Links,Errors,Contrast Errors,Alerts,Features,Structure,ARIA,AIM Score,cod_erro
222,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsmbr.def,54,35,32,27,4,0,4.1,
223,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsrbr.def,58,36,33,38,4,0,4.1,
224,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsrbr.def,58,36,33,38,4,0,4.1,
225,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsebr.def,56,34,31,36,4,0,4.1,
226,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsebr.def,56,34,31,36,4,0,4.1,
227,https://datasus.saude.gov.br/pesquisa-assistencia-medico-sanitaria-ams-1999,11,11,13,4,38,0,5.5,
228,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsabr.def,67,48,45,50,4,0,4.0,
229,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsbbr.def,89,70,67,72,4,0,3.0,
230,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amscbr.def,76,57,54,59,4,0,3.0,
231,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsmbr.def,51,32,29,34,4,0,4.1,
232,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsdbr.def,76,57,54,59,4,0,3.0,
233,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsrbr.def,54,32,29,34,4,0,4.1,
234,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsebr.def,52,30,28,32,4,0,4.1,
235,https://datasus.saude.gov.br/pesquisa-assistencia-medico-sanitaria-ams-1992,5,11,12,4,38,0,5.8,
236,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amszbr.def,43,27,24,29,4,0,5.0,
237,https://datasus.saude.gov.br/pesquisa-assistencia-medico-sanitaria-ams-1981-a-1990,5,11,12,4,38,0,5.8,
238,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsobr.def,44,25,22,27,4,0,5.1,
239,https://datasus.saude.gov.br/nascidos-vivos-desde-1994,8,11,13,4,38,0,5.8,
240,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvuf.def,35,28,28,30,5,0,2.9,
241,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/cnv/nvextbr.def,38,28,28,30,5,0,4.7,
242,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/Anomalias/anomabr.def,47,31,29,33,5,0,4.4,
243,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinasc/compl/dnprincbr.def,17,12,10,15,5,0,6.7,
244,https://datasus.saude.gov.br/mortalidade-desde-1996-pela-cid-10,20,12,25,4,42,1,4.4,
245,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/obt10uf.def,41,25,24,27,5,0,4.4,
246,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?sim/cnv/OBREXTbr.def,45,26,25,28,5,0,4.4,
247,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/evita10uf.def,21,20,19,22,5,0,5.1,
248,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/evitb10uf.def,25,21,20,23,5,0,5.1,
249,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/inf10uf.def,49,33,32,35,5,0,3.5,
250,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/mat10uf.def,37,24,25,26,5,0,4.4,
251,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/ext10uf.def,34,24,23,26,5,0,3.2,
252,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/fet10uf.def,36,26,25,28,5,0,4.4,
253,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/caumul/caumulbr.def,52,26,24,29,5,0,4.4,
254,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/maldefbr.def,27,19,17,22,5,0,5.7,
255,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/poucutilbr.def,29,18,16,21,5,0,6.0,
256,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/blocbr.def,34,17,15,20,5,0,5.1,
257,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/mifbr.def,35,18,16,21,5,0,5.1,
258,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/compl/cauexbr.def,35,18,16,21,5,0,5.1,
259,https://datasus.saude.gov.br/paineis-de-monitoramento-svs,13,19,18,4,38,0,4.5,
260,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/natalidade/nascidos-vivos/,1,29,12,32,75,472,5.8,
261,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/natalidade/grupos-de-robson/,1,10,15,14,88,487,7.8,
262,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/natalidade/regularidade/,-1,-1,-1,-1,-1,-1,-1,pagina sem resposta Código de erro: RESULT_CODE_HUNG
263,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/cid10/,1,17,47,21,89,15315,7.0,
264,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/dcnt/,1,17,47,21,89,1851,6.7,
265,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/infantil-e-fetal/,1,17,47,21,89,15318,7.0,
266,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/materna/,1,16,47,20,89,546,6.7,
267,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/codigos-garbage/,1,18,48,22,90,5877,7.0,
268,https://svs.aids.gov.br/daent/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/regularidade/,-1,-1,-1,-1,-1,-1,-1,pagina sem resposta Código de erro: RESULT_CODE_HUNG
269,https://datasus.saude.gov.br/correcao-e-redistribuicao-de-obitos-segundo-a-pesquisa-de-busca-ativa,6,10,10,4,38,0,5.8,
270,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?obitocorr/cnv/obitocorr.def,11,13,11,15,4,0,4.3,
271,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?obitocorr/cnv/obitoredistr.def,15,14,12,16,4,0,4.3,
272,https://datasus.saude.gov.br/mortalidade-1979-a-1995-pela-cid-9,9,9,26,4,42,1,5.6,
273,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/fet09uf.def,33,23,21,25,4,0,3.9,
274,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/inf09uf.def,34,24,22,26,4,0,3.9,
275,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/ext09uf.def,36,23,21,25,4,0,3.0,
276,https://datasus.saude.gov.br/cancer-sitio-do-inca,5,10,10,4,38,0,6.4,
277,https://mortalidade.inca.gov.br/MortalidadeWeb/,10,0,18,10,4,25,6.9,
278,https://datasus.saude.gov.br/populacao-residente,11,11,12,4,38,0,5.5,
279,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popuf.def,17,16,14,18,5,0,3.7,
280,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popuf.def,6,11,12,13,5,0,5.2,
281,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/reprojpopbr.def,14,13,11,15,4,0,4.3,
282,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/reprojpopuf.def,15,14,12,16,4,0,4.3,
283,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/projpopuf.def,19,15,13,17,4,0,4.0,
284,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popsvsbr.def,56,28,26,30,5,0,4.1,
285,https://datasus.saude.gov.br/educacao-censos-1991-2000-e-2010,8,11,12,4,38,0,5.5,
286,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/alfuf,10,15,13,17,4,0,4.3,
287,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/escauf,10,15,13,17,5,0,4.3,
288,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/escbuf,10,15,13,17,5,0,4.3,
289,https://datasus.saude.gov.br/trabalho-e-renda-censos-1991-2000-e-2010,13,11,12,4,38,0,4.9,
290,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/rendauf,7,12,10,14,5,0,4.9,
291,http://tabnet.datasus.gov.br/cgi/ibge/censo/cnv/giniuf,-1,-1,-1,-1,-1,-1,-1,HTTP Error 404.0 - Not Found
292,http://tabnet.datasus.gov.br/cgi/ibge/censo/cnv/razaouf,-1,-1,-1,-1,-1,-1,-1,HTTP Error 404.0 - Not Found
293,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/pobrezauf,7,12,10,14,5,0,4.9,
294,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/crianpobruf,7,12,10,14,5,0,4.9,
295,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/desempruf,7,12,10,14,5,0,4.9,
296,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/trabinfuf,7,12,10,14,5,0,4.9,
297,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/idosouf,9,14,12,16,4,0,4.3,
298,https://datasus.saude.gov.br/produto-interno-bruto,6,11,13,4,38,0,5.8,
299,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/pibmunbuf,6,11,9,13,5,0,5.3,
300,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/pibmunuf,6,11,9,13,5,0,5.3,
301,https://datasus.saude.gov.br/saneamento-censos-1991-2000-e-2010,8,9,26,4,42,1,5.6,
302,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/aaguf,11,13,11,15,4,0,4.3,
303,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/sanuf,12,14,12,16,4,0,4.3,
304,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/lixuf,8,13,11,15,4,0,4.9,
305,https://datasus.saude.gov.br/pns-pesquisa-nacional-de-saude-2013,27,10,10,4,38,0,3.7,
306,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsa.def,53,49,47,51,5,0,1.9,
307,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsb.def,19,18,16,20,5,0,3.6,
308,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsg.def,63,53,51,55,5,0,1.8,
309,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsi.def,42,35,33,37,5,0,2.3,
310,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsj.def,135,83,81,85,5,0,1.1,
311,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnska.def,95,80,78,82,5,0,1.1,
312,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsl.def,65,55,53,57,5,0,1.2,
313,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsn.def,53,46,44,48,5,0,1.9,
314,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsoa.def,63,50,48,52,5,0,1.9,
315,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsov.def,66,47,45,49,5,0,1.9,
316,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnspf.def,72,62,60,64,5,0,1.2,
317,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnspa.def,53,46,44,48,5,0,2.2,
318,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnspb.def,54,44,42,46,5,0,2.2,
319,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsqa.def,84,62,60,64,5,0,1.2,
320,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsqb.def,97,75,73,77,5,0,1.2,
321,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsqc.def,81,62,60,64,5,0,1.2,
322,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsqd.def,112,78,76,80,5,0,1.2,
323,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsqe.def,77,55,53,57,5,0,1.2,
324,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnskb.def,35,28,26,30,5,0,2.9,
325,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsr.def,110,88,86,90,5,0,1.1,
326,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnss.def,111,92,90,94,5,0,1.1,
327,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsu.def,70,48,46,50,5,0,1.3,
328,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pns/pnsx.def,82,63,61,65,5,0,1.2,
329,https://datasus.saude.gov.br/pnad-pesquisa-nacional-por-amostra-de-domicilios-questionario-basico,7,10,10,4,38,0,5.8,
330,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad/cnv/pnadc.def,29,31,29,33,5,0,2.9,
331,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad/cnv/pnadb.def,29,31,29,33,5,0,2.9,
332,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad/cnv/pnada.def,29,31,29,33,5,0,2.9,
333,https://datasus.saude.gov.br/pnad-pesquisa-nacional-por-amostra-de-domicilios-suplemento-saude,7,10,10,4,30,0,5.8,
334,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad2008/pnad.def,39,44,41,46,5,0,1.9,
335,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad2003/pnad.def,32,37,34,39,5,0,2.5,
336,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pnad1998/pnad.def,29,34,31,36,5,0,2.6,
337,https://datasus.saude.gov.br/vigitel-vigilancia-de-fatores-de-risco-e-protecao-para-doencas-cronicas-por-inquerito-telefonico,10,9,23,4,42,1,5.3,
338,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?vigitel/vigitel10.def,12,17,14,19,5,0,4.3,
339,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?vigitel/vigitel09.def,12,17,14,19,5,0,4.3,
340,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?vigitel/vigitel08.def,12,17,14,19,5,0,4.3,
341,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?vigitel/vigitel07.def,11,16,13,18,5,0,4.3,
342,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?vigitel/vigitel06.def,9,14,11,16,5,0,4.3,
343,https://datasus.saude.gov.br/viva-vigilancia-de-violencias-e-acidentes,8,10,10,4,38,0,5.8,
344,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?viva/2011/viva11p.def,119,73,73,75,5,0,3.3,
345,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?viva/2009/viva09.def,113,73,71,75,5,0,3.3,
346,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?viva/2007/viva07.def,96,62,60,64,5,0,3.3,
347,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?viva/2006/viva06.def,89,67,65,69,5,0,3.3,
348,https://datasus.saude.gov.br/inquerito-domiciliar-de-fatores-de-risco-para-doencas-e-agravos-nao-transmissiveis-2002-2003,5,10,9,4,38,0,6.5,
349,http://www1.inca.gov.br/inquerito_online/,-1,-1,-1,-1,-1,-1,-1,ERR_CONNECTION_TIMED_OUT
350,https://datasus.saude.gov.br/inqueritos-de-saude-bucal-1996,6,9,22,4,42,1,6.3,
351,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sbucal/sbbr.def,120,41,38,43,4,0,1.3,
352,https://datasus.saude.gov.br/nquerito-nacional-de-prevalencia-da-esquistossomose-e-geo-helmintoses-2011-2015,8,11,12,4,38,0,5.5,
353,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinan/inpeg/cnv/inpegbr.def,24,20,18,22,4,0,5.7,
354,https://www.cpqrr.fiocruz.br/inpeg/,-1,-1,-1,-1,-1,-1,-1,"Not Found
The requested URL /inpeg/ was not found on this server."
355,https://www.ans.gov.br/anstabnet/,1,0,19,8,14,0,9.3,
356,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?recsus/cnv/rsbr.def,1,0,11,23,4,0,9.7,
357,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?recsus/cnv/rpbr.def,1,0,11,24,4,0,9.7,
358,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?gap/cnv/gpbr.def,1,0,11,16,4,0,9.4,
359,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?logtabnet/log.def,24,16,14,19,5,0,3.7,
360,https://datasus.saude.gov.br/servicos/,4,10,8,4,42,24,6.8,
361,https://datasus.saude.gov.br/transferencia-de-arquivos/,10,17,28,6,49,1,4.7,
362,https://universus.saude.gov.br/login/index.php,7,0,1,9,12,21,7.6,
363,http://forum.datasus.gov.br/index.php,5,2,265,6,254,128,7.9,
364,https://datasus.saude.gov.br/central-unica-de-servicos-tic/,5,20,26,8,42,1,4.7,
365,https://datasus.saude.gov.br/publicacoes,4,16,17,4,50,36,5.7,
366,https://datasus.saude.gov.br/sistema-de-gestao/,5,12,21,4,42,1,5.7,
367,https://sargsus.saude.gov.br/sargsus/login!usuarioLogado.action?SARGSUS_TOKEN=2QG9-2X3K-0P2H-93S8-SGR6-6MVB-D8ZH-VBX0,6,4,5,3,6,0,6.3,
368,https://datasus.saude.gov.br/desenv-de-software/,4,31,14,4,61,3,4.0,
369,https://datasus.saude.gov.br/metodologia-de-priorizacao-de-projetos-digitais-em-saude/,4,20,15,4,47,0,4.8,
370,https://datasus.saude.gov.br/metodologia-de-gerenciamento-de-projetos-mgp,5,25,29,4,55,36,4.7,
371,https://datasus.saude.gov.br/metodologia-de-gerenciamento-de-processos-mgproc,4,10,11,4,46,0,6.7,
372,https://datasus.saude.gov.br/diretriz-arquitetural-guia-de-desenvolvimento-de-sistemas/,4,12,9,4,41,0,5.9,
373,https://datasus.saude.gov.br/mdsa,4,21,10,4,45,0,4.9,
374,https://datasus.saude.gov.br/metodologia-de-desenvolvimento-de-servicos-mdsoa/,14,13,10,4,41,0,5.8,
375,https://datasus.saude.gov.br/processo-de-genrenciamento-e-desenvolvimento-mobile-pgdm,4,35,12,4,51,0,3.7,
376,https://datasus.saude.gov.br/metodologias-mds/,4,26,10,4,51,0,4.6,
377,https://datasus.saude.gov.br/metodologia-de-administracao-de-dados-mad/,4,26,11,4,54,3,4.6,
378,https://datasus.saude.gov.br/termos,4,11,11,4,40,7,6.4,
379,https://datasus.saude.gov.br/seguranca-da-informacao/,4,17,10,5,45,1,5.8,
380,https://datasus.saude.gov.br/internalizacoes,4,33,23,4,55,0,3.8,
